Model,Class,Q,e,i,H6,H8,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25.5
All,SS,0.7,1.1,2,,,,,,,,,,,,,,,,,,
All,SS,0.7,1.1,5,,,,,,,,,,,,,,,,,,
All,SS,0.7,1.1,10,,,,,,,,,,,,,,,,,,
All,SS,0.7,1.1,15,,,,,,,,,,,,,,,,,,
All,SS,0.7,1.1,20,,,,,,,,,,,,,,,,0.577350269189626,,
All,SS,0.7,1.1,25,,,,,,,,,,,,,,,,,,
All,SS,0.7,1.1,30,,,,,,,,,,,,,,,,,,
All,SS,0.7,1.1,40,,,,,,,,,,,,,,,,,,
All,SS,0.7,1.1,60,,,,,,,,,,,,,,,,,,
All,SS,0.7,1.1,90,,,,,,,,,,,,,,,,,,
All,SS,0.7,1.1,180,,,,,,,,,,,,0.136082763487954,,,,,,
All,SS,0.8,0.1,2,,,,,,,,,,,,,,,,19.4935886896179,9.74679434480896,15.9164485150844
All,SS,0.8,0.1,5,,,,,,,,,,,,,,,,7.95822425754221,15.9164485150844,38.9871773792358
All,SS,0.8,0.1,10,,,,,,,,,,,,,,,,,,10.0664459136943
All,SS,0.8,0.1,15,,,,,,,,,,,,,,,,,6.16441400296897,10.0664459136943
All,SS,0.8,0.1,20,,,,,,,,,,,,,,,,12.3288280059379,6.16441400296897,15.0996688705415
All,SS,0.8,0.1,25,,,,,,,,,,,,,,,12.3288280059379,6.16441400296897,18.4932420089069,10.0664459136943
All,SS,0.8,0.1,30,,,,,,,,,,,,,6.16441400296897,,,12.3288280059379,24.6576560118759,30.199337741083
All,SS,0.8,0.1,40,,,,,,,,,,,,,8.71779788708134,,8.71779788708134,8.71779788708134,43.5889894354067,39.1492869241148
All,SS,0.8,0.1,60,,,,,,,,,,3.08220700148449,,3.08220700148449,,3.08220700148449,6.16441400296897,9.24662100445346,33.9042770163294,47.8156180900481
All,SS,0.8,0.1,90,,,,,,,,,,2.51661147842358,,,,,,10.0664459136943,10.0664459136943,14.3836326735943
All,SS,0.8,0.1,180,,,,,,,,,,,,,,,,,,
All,SS,0.8,0.2,2,,,,,,,,,,,,,,,,9.21954445729288,18.4390889145858,391.441779408722
All,SS,0.8,0.2,5,,,,,,,,,,,,,7.52772652709081,,15.0554530541816,15.0554530541816,30.1109061083632,522.44085257993
All,SS,0.8,0.2,10,,,,,,,,,,,,,5.8309518948453,5.8309518948453,11.6619037896906,23.3238075793812,34.9857113690718,414.202848855485
All,SS,0.8,0.2,15,,,,,,,,,,,,5.8309518948453,,17.4928556845359,17.4928556845359,23.3238075793812,81.6333265278342,238.047614284762
All,SS,0.8,0.2,20,,,,,,,,,,,5.8309518948453,5.8309518948453,,5.8309518948453,17.4928556845359,34.9857113690718,75.8023746329889,114.262854856686
All,SS,0.8,0.2,25,,,,,,,,,,,,5.8309518948453,,,5.8309518948453,23.3238075793812,87.4642784226795,138.067616285162
All,SS,0.8,0.2,30,,,,,,,,,,,,,5.8309518948453,11.6619037896906,5.8309518948453,34.9857113690718,81.6333265278342,147.589520856552
All,SS,0.8,0.2,40,,,,,,,,,,,,,,4.12310562561766,12.369316876853,45.3541618817942,98.9545350148238,151.492574075431
All,SS,0.8,0.2,60,,,,,,,,,,,,,8.74642784226795,8.74642784226795,20.4083316319585,37.9011873164944,58.309518948453,159.49190157079
All,SS,0.8,0.2,90,,,,,,,,,,,,,,,2.38047614284762,2.38047614284762,19.0438091427809,54.4222176852228
All,SS,0.8,0.2,180,,,,,,,,,,,,,,,,,,
All,SS,0.8,0.3,2,,,,,,,,,,,,,,8.66025403784438,,25.9807621135332,25.9807621135332,381.837661840736
All,SS,0.8,0.3,5,,,,,,,,,,,,7.07106781186547,,7.07106781186547,21.2132034355964,42.4264068711928,63.6396103067893,513.841739578767
All,SS,0.8,0.3,10,,,,,,,,,,,,10.9544511501033,10.9544511501033,43.8178046004133,32.86335345031,60.2494813255683,147.885090526395,469.574275274956
All,SS,0.8,0.3,15,,,,,,,,,,,5.47722557505166,5.47722557505166,16.431676725155,27.3861278752583,43.8178046004133,65.7267069006199,153.362316101446,335.410196624968
All,SS,0.8,0.3,20,,,,,,,,,,,5.47722557505166,16.431676725155,10.9544511501033,54.7722557505166,32.86335345031,98.5900603509299,175.271218401653,357.770876399966
All,SS,0.8,0.3,25,,,,,,,,,5.47722557505166,,10.9544511501033,5.47722557505166,10.9544511501033,16.431676725155,38.3405790253616,109.544511501033,202.657346276911,433.797187634959
